serum,strain,plate_barcode,dilution_factor,frac_infectivity_raw,frac_infectivity_ceiling
seqneut25to26_sera_0023,A/Bhutan/1267/2025_H3N2,plate3-A/Bhutan/1267/2025_H3N2,212,0.0004415,0.0004415
seqneut25to26_sera_0023,A/Bhutan/1267/2025_H3N2,plate3-A/Bhutan/1267/2025_H3N2,487,0.007092,0.007092
seqneut25to26_sera_0023,A/Bhutan/1267/2025_H3N2,plate3-A/Bhutan/1267/2025_H3N2,1119,0.1367,0.1367
seqneut25to26_sera_0023,A/Bhutan/1267/2025_H3N2,plate3-A/Bhutan/1267/2025_H3N2,2575,0.515,0.515
seqneut25to26_sera_0023,A/Bhutan/1267/2025_H3N2,plate3-A/Bhutan/1267/2025_H3N2,5921,0.6349,0.6349
seqneut25to26_sera_0023,A/Bhutan/1267/2025_H3N2,plate3-A/Bhutan/1267/2025_H3N2,1.362e+04,0.9686,0.9686
seqneut25to26_sera_0023,A/Bhutan/7/2025_H3N2,plate3-A/Bhutan/7/2025_H3N2,40,1.523e-05,1.523e-05
seqneut25to26_sera_0023,A/Bhutan/7/2025_H3N2,plate3-A/Bhutan/7/2025_H3N2,92,0.004308,0.004308
seqneut25to26_sera_0023,A/Bhutan/7/2025_H3N2,plate3-A/Bhutan/7/2025_H3N2,212,4.013e-05,4.013e-05
seqneut25to26_sera_0023,A/Bhutan/7/2025_H3N2,plate3-A/Bhutan/7/2025_H3N2,487,0.001791,0.001791
seqneut25to26_sera_0023,A/Bhutan/7/2025_H3N2,plate3-A/Bhutan/7/2025_H3N2,1119,0.04655,0.04655
seqneut25to26_sera_0023,A/Bhutan/7/2025_H3N2,plate3-A/Bhutan/7/2025_H3N2,2575,0.647,0.647
seqneut25to26_sera_0023,A/Bhutan/7/2025_H3N2,plate3-A/Bhutan/7/2025_H3N2,5921,0.614,0.614
seqneut25to26_sera_0023,A/Bhutan/7/2025_H3N2,plate3-A/Bhutan/7/2025_H3N2,1.362e+04,0.8846,0.8846
seqneut25to26_sera_0023,A/BritishColumbia/PHL-2473/2025_H1N1,plate3-A/BritishColumbia/PHL-2473/2025_H1N1,40,0.1235,0.1235
seqneut25to26_sera_0023,A/BritishColumbia/PHL-2473/2025_H1N1,plate3-A/BritishColumbia/PHL-2473/2025_H1N1,92,0.727,0.727
seqneut25to26_sera_0023,A/BritishColumbia/PHL-2473/2025_H1N1,plate3-A/BritishColumbia/PHL-2473/2025_H1N1,212,1.34,1
seqneut25to26_sera_0023,A/BritishColumbia/PHL-2473/2025_H1N1,plate3-A/BritishColumbia/PHL-2473/2025_H1N1,487,1.174,1
seqneut25to26_sera_0023,A/BritishColumbia/PHL-2473/2025_H1N1,plate3-A/BritishColumbia/PHL-2473/2025_H1N1,1119,1.218,1
seqneut25to26_sera_0023,A/BritishColumbia/PHL-2473/2025_H1N1,plate3-A/BritishColumbia/PHL-2473/2025_H1N1,2575,1.132,1
seqneut25to26_sera_0023,A/BritishColumbia/PHL-2473/2025_H1N1,plate3-A/BritishColumbia/PHL-2473/2025_H1N1,5921,0.7935,0.7935
seqneut25to26_sera_0023,A/BritishColumbia/PHL-2473/2025_H1N1,plate3-A/BritishColumbia/PHL-2473/2025_H1N1,1.362e+04,0.978,0.978
seqneut25to26_sera_0023,A/California/61/2025_H3N2,plate3-A/California/61/2025_H3N2,40,3.706e-05,3.706e-05
seqneut25to26_sera_0023,A/California/61/2025_H3N2,plate3-A/California/61/2025_H3N2,92,0.03177,0.03177
seqneut25to26_sera_0023,A/California/61/2025_H3N2,plate3-A/California/61/2025_H3N2,212,0.2773,0.2773
seqneut25to26_sera_0023,A/California/61/2025_H3N2,plate3-A/California/61/2025_H3N2,487,0.5818,0.5818
seqneut25to26_sera_0023,A/California/61/2025_H3N2,plate3-A/California/61/2025_H3N2,1119,0.7955,0.7955
seqneut25to26_sera_0023,A/California/61/2025_H3N2,plate3-A/California/61/2025_H3N2,2575,0.8793,0.8793
seqneut25to26_sera_0023,A/California/61/2025_H3N2,plate3-A/California/61/2025_H3N2,5921,0.7129,0.7129
seqneut25to26_sera_0023,A/California/61/2025_H3N2,plate3-A/California/61/2025_H3N2,1.362e+04,0.9691,0.9691
seqneut25to26_sera_0023,A/California/63/2025_H1N1,plate3-A/California/63/2025_H1N1,40,0.1751,0.1751
seqneut25to26_sera_0023,A/California/63/2025_H1N1,plate3-A/California/63/2025_H1N1,92,0.6488,0.6488
seqneut25to26_sera_0023,A/California/63/2025_H1N1,plate3-A/California/63/2025_H1N1,212,1.486,1
seqneut25to26_sera_0023,A/California/63/2025_H1N1,plate3-A/California/63/2025_H1N1,487,1.677,1
seqneut25to26_sera_0023,A/California/63/2025_H1N1,plate3-A/California/63/2025_H1N1,1119,1.045,1
seqneut25to26_sera_0023,A/California/63/2025_H1N1,plate3-A/California/63/2025_H1N1,2575,1.071,1
seqneut25to26_sera_0023,A/California/63/2025_H1N1,plate3-A/California/63/2025_H1N1,5921,0.8415,0.8415
seqneut25to26_sera_0023,A/California/63/2025_H1N1,plate3-A/California/63/2025_H1N1,1.362e+04,0.8965,0.8965
seqneut25to26_sera_0023,A/Canberra/465/2025_H1N1,plate3-A/Canberra/465/2025_H1N1,40,0.04577,0.04577
seqneut25to26_sera_0023,A/Canberra/465/2025_H1N1,plate3-A/Canberra/465/2025_H1N1,92,0.5434,0.5434
seqneut25to26_sera_0023,A/Canberra/465/2025_H1N1,plate3-A/Canberra/465/2025_H1N1,212,1.396,1
seqneut25to26_sera_0023,A/Canberra/465/2025_H1N1,plate3-A/Canberra/465/2025_H1N1,487,1.248,1
seqneut25to26_sera_0023,A/Canberra/465/2025_H1N1,plate3-A/Canberra/465/2025_H1N1,1119,0.952,0.952
seqneut25to26_sera_0023,A/Canberra/465/2025_H1N1,plate3-A/Canberra/465/2025_H1N1,2575,1.11,1
seqneut25to26_sera_0023,A/Canberra/465/2025_H1N1,plate3-A/Canberra/465/2025_H1N1,5921,0.8808,0.8808
seqneut25to26_sera_0023,A/Canberra/465/2025_H1N1,plate3-A/Canberra/465/2025_H1N1,1.362e+04,0.939,0.939
seqneut25to26_sera_0023,A/Canberra/530/2025_H1N1,plate3-A/Canberra/530/2025_H1N1,40,0.09811,0.09811
seqneut25to26_sera_0023,A/Canberra/530/2025_H1N1,plate3-A/Canberra/530/2025_H1N1,92,0.7777,0.7777
seqneut25to26_sera_0023,A/Canberra/530/2025_H1N1,plate3-A/Canberra/530/2025_H1N1,212,1.24,1
seqneut25to26_sera_0023,A/Canberra/530/2025_H1N1,plate3-A/Canberra/530/2025_H1N1,487,1.204,1
seqneut25to26_sera_0023,A/Canberra/530/2025_H1N1,plate3-A/Canberra/530/2025_H1N1,1119,1.127,1
seqneut25to26_sera_0023,A/Canberra/530/2025_H1N1,plate3-A/Canberra/530/2025_H1N1,2575,1.429,1
